[04авг.2026 13:26:37.518] [Datafixer Bootstrap/INFO] [com.mojang.datafixers.DataFixerBuilder/]: 226 Datafixer optimizations took 161 milliseconds
[04авг.2026 13:26:40.177] [main/INFO] [net.minecraft.client.main.Main/]: Completely ignored arguments: [--launchTarget, forgeclient, --fml.neoForgeVersion, 21.1.234, --fml.fmlVersion, 4.0.42, --fml.mcVersion, 1.21.1, --fml.neoFormVersion, 20240808.144430]
[04авг.2026 13:26:40.248] [Render thread/ERROR] [grg/]: Can't open the resource index file: /Users/maksim/.vozducraft/assets/indexes/1.21.json
[04авг.2026 13:26:40.283] [Render thread/INFO] [com.mojang.authlib.yggdrasil.YggdrasilAuthenticationService/]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[04авг.2026 13:26:40.292] [Render thread/INFO] [fgo/]: Setting user: PhonixVogel
[04авг.2026 13:26:40.344] [Render thread/INFO] [fgo/]: Backend library: LWJGL version 3.3.3+5
[04авг.2026 13:26:40.835] [Render thread/ERROR] [fgo/]: Couldn't set icon
java.io.FileNotFoundException: icons/minecraft.icns
	at fad.a(SourceFile:41) ~[minecraft.jar:?]
	at fad.b(SourceFile:34) ~[minecraft.jar:?]
	at fam.a(SourceFile:192) ~[minecraft.jar:?]
	at fgo.<init>(SourceFile:511) [minecraft.jar:?]
	at net.minecraft.client.main.Main.main(SourceFile:239) [minecraft.jar:?]
[04авг.2026 13:26:42.093] [Render thread/INFO] [aub/]: Reloading ResourceManager: vanilla
[04авг.2026 13:26:43.141] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:entity.allay.ambient_with_item
[04авг.2026 13:26:43.141] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:entity.allay.ambient_without_item
[04авг.2026 13:26:43.141] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:entity.allay.death
[04авг.2026 13:26:43.141] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:entity.allay.hurt
[04авг.2026 13:26:43.142] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:entity.allay.item_given
[04авг.2026 13:26:43.142] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:entity.allay.item_taken
[04авг.2026 13:26:43.142] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:entity.allay.item_thrown
[04авг.2026 13:26:43.142] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.cave
[04авг.2026 13:26:43.142] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.basalt_deltas.additions
[04авг.2026 13:26:43.142] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.basalt_deltas.loop
[04авг.2026 13:26:43.142] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.basalt_deltas.mood
[04авг.2026 13:26:43.143] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.crimson_forest.additions
[04авг.2026 13:26:43.143] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.crimson_forest.loop
[04авг.2026 13:26:43.143] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.crimson_forest.mood
[04авг.2026 13:26:43.143] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.nether_wastes.additions
[04авг.2026 13:26:43.143] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.nether_wastes.loop
[04авг.2026 13:26:43.143] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.nether_wastes.mood
[04авг.2026 13:26:43.143] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.soul_sand_valley.additions
[04авг.2026 13:26:43.143] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.soul_sand_valley.loop
[04авг.2026 13:26:43.143] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.soul_sand_valley.mood
[04авг.2026 13:26:43.143] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.warped_forest.additions
[04авг.2026 13:26:43.144] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.warped_forest.loop
[04авг.2026 13:26:43.144] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.warped_forest.mood
[04авг.2026 13:26:43.144] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.underwater.enter
[04авг.2026 13:26:43.144] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.underwater.exit
[04авг.2026 13:26:43.144] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.underwater.loop
[04авг.2026 13:26:43.144] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.underwater.loop.additions
[04авг.2026 13:26:43.144] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.underwater.loop.additions.rare
[04авг.2026 13:26:43.144] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:ambient.underwater.loop.additions.ultra_rare
[04авг.2026 13:26:43.144] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.amethyst_block.break
[04авг.2026 13:26:43.144] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.amethyst_block.chime
[04авг.2026 13:26:43.145] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.amethyst_block.fall
[04авг.2026 13:26:43.145] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.amethyst_block.hit
[04авг.2026 13:26:43.145] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.amethyst_block.place
[04авг.2026 13:26:43.145] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.amethyst_block.resonate
[04авг.2026 13:26:43.145] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.amethyst_block.step
[04авг.2026 13:26:43.145] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.amethyst_cluster.break
[04авг.2026 13:26:43.145] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.amethyst_cluster.fall
[04авг.2026 13:26:43.145] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.amethyst_cluster.hit
[04авг.2026 13:26:43.145] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.amethyst_cluster.place
[04авг.2026 13:26:43.145] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.amethyst_cluster.step
[04авг.2026 13:26:43.145] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.ancient_debris.break
[04авг.2026 13:26:43.146] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.ancient_debris.step
[04авг.2026 13:26:43.146] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.ancient_debris.place
[04авг.2026 13:26:43.146] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.ancient_debris.hit
